prediction;test_price
28.53;28.78
28.75;28.81
28.74;28.14
28.77;28.2
28.12;28.74
28.18;29.0
28.69;28.63
28.94;28.29
28.6;28.28
28.27;28.16
28.26;27.78
28.13;27.72
27.77;27.16
27.71;27.18
27.16;26.64
27.2;26.31
26.66;26.76
26.35;26.45
26.77;26.48
26.47;26.04
26.51;26.02
26.07;25.1
26.05;24.87
25.15;24.53
24.93;24.88
24.58;25.5
24.91;25.02
25.5;25.62
25.05;25.12
25.64;25.66
25.14;26.03
25.66;26.75
26.0;26.96
26.7;26.23
26.9;27.48
26.21;27.67
27.42;28.02
27.57;27.85
27.95;27.94
27.78;28.6
27.88;28.19
28.51;28.34
28.12;28.08
28.29;28.42
28.02;28.15
28.37;28.41
28.1;28.69
28.37;28.69
28.64;28.88
28.64;28.39
28.83;28.27
28.35;28.27
28.25;27.8
28.24;27.6
27.78;27.26
27.6;26.83
27.26;26.57
26.85;27.21
26.6;27.4
27.21;27.33
27.39;26.85
27.34;26.57
26.87;27.67
26.59;27.25
27.64;27.83
27.22;27.95
27.81;27.99
27.9;27.71
27.95;27.37
27.67;27.04
27.35;27.37
27.03;27.84
27.35;27.53
27.79;27.51
27.51;27.25
27.5;27.5
27.24;27.1
27.48;26.91
27.09;27.35
26.92;26.33
27.33;26.21
26.34;26.11
26.24;26.45
26.12;26.85
26.45;27.33
26.84;27.44
27.31;27.3
27.42;27.6
27.28;27.86
27.57;28.23
27.81;28.29
28.17;28.58
28.23;28.29
28.52;29.05
28.23;29.22
28.98;29.04
29.12;29.42
28.98;30.27
29.36;30.15
30.17;29.92
30.05;30.33
29.85;29.95
30.25;30.36
29.86;30.52
30.29;30.45
30.43;30.29
30.38;29.74
30.22;29.36
29.69;29.32
29.33;28.99
29.29;29.35
28.97;29.54
29.33;29.49
29.51;29.31
29.47;29.05
29.29;28.95
29.03;29.97
28.93;30.09
29.92;28.8
30.02;28.95
28.78;29.51
28.94;29.02
29.46;29.0
28.98;29.6
28.98;29.36
29.56;28.88
29.31;28.74
28.87;28.69
28.73;27.86
28.67;28.26
27.86;28.11
28.26;28.34
28.09;27.51
28.34;27.54
27.51;27.22
27.56;27.09
27.22;26.79
27.11;26.96
26.81;26.24
26.97;26.13
26.27;25.77
26.17;25.82
25.8;25.47
25.86;25.39
25.51;25.67
25.43;26.55
25.69;27.22
26.53;26.96
27.18;26.6
26.94;26.53
26.6;27.17
26.51;27.06
27.12;27.13
27.01;26.61
27.1;26.97
26.59;27.63
